Ano de Edição,Colaborador,Editora,ISBN,Ano,Edição,Origem,Formato,Encadernação,Idioma,País,Páginas,preço,nome,categoria
2018.0,"Tradutor:AZEVEDO, LIGIA|Tradutor:CLEMENTE, CRISTIAN|Tradutor:MIRANDA, GUILHERME|Tradutor:OLIBONI, ZÉ|Autor:AVEYARD, VICTORIA",SEGUINTE,8555340551,2018.0,1.0,Nacional,LIVRO,BROCHURA,PORTUGUÊS,BRASIL,632.0,47.9,TEMPESTADE DE GUERRA,Teen
2017.0,"Tradutor:SUASSUNA, EDMO|Autor:MATHARU, TARAN",GALERA RECORD,8501077356,2017.0,1.0,Nacional,LIVRO,BROCHURA,PORTUGUÊS,BRASIL,350.0,49.9,A INQUISIÇÃO (VOL. 2 CONJURADOR),Teen
2017.0,"Tradutor:NOVELLO, ERIC|Autor:BARDUGO, LEIGH",GUTENBERG AUTENTICA,8582354568,2017.0,1.0,Nacional,LIVRO,BROCHURA,PORTUGUÊS,BRASIL,448.0,59.8,CROOKED KINGDOM,Teen
2014.0,"Tradutor:STAHEL, MONICA|Autor:ALMOND, DAVID|Ilustrador:JEFFERS, OLIVER",WMF MARTINS FONTES,8578278917,2014.0,1.0,Nacional,LIVRO,BROCHURA,PORTUGUÊS,BRASIL,248.0,39.9,O MENINO QUE NADAVA COM PIRANHAS,Teen
2011.0,"Autor:BASTOS, DAU|Autor:NASCIMENTO, SOLANGE|Autor:SOUZA, MARIANA",GARAMOND,8586435759,2011.0,1.0,Nacional,LIVRO,BROCHURA,PORTUGUÊS,BRASIL,112.0,26.0,MONOGRAFIA AO ALCANCE DE TODOS,Metodologia de Pesquisa
2014.0,"Autor:YIN, ROBERT K.",BOOKMAN COMPANHIA ED,8582602316,2014.0,1.0,Nacional,LIVRO,BROCHURA,PORTUGUÊS,BRASIL,320.0,99.0,ESTUDO DE CASO,Metodologia de Pesquisa
2014.0,"Tradutor:FARO, JOANA|Autor:ZHANG, KAT",GALERA RECORD,8501098361,2014.0,1.0,Nacional,LIVRO,BROCHURA,PORTUGUÊS,BRASIL,320.0,39.9,O QUE RESTOU DE MIM (VOL. 1 AS CRÔNICAS HÍBRIDAS),Teen
2018.0,"Tradutor:AZEVEDO, LIGIA|Autor:YOUSAFZAI, MALALA",CIA DAS LETRINHAS,857406811X,2018.0,1.0,Nacional,LIVRO,CAPA DURA,PORTUGUÊS,BRASIL,44.0,42.9,MALALA E SEU LÁPIS MÁGICO,Teen
2008.0,"Autor:LIMA, MANOLITA CORREA",SARAIVA EDITORA -,850206326X,2008.0,1.0,Nacional,LIVRO,BROCHURA,PORTUGUÊS,BRASIL,264.0,97.0,MONOGRAFIA,Metodologia de Pesquisa
2015.0,"Autor:LUDWIG, ANTONIO CARLOS WILL",VOZES,8532637523,2015.0,1.0,Nacional,LIVRO,BROCHURA,PORTUGUÊS,BRASIL,128.0,38.0,FUNDAMENTOS E PRÁTICA DE METODOLOGIA CIENTÍFICA,Metodologia de Pesquisa
2019.0,"Autor:LOWEN, ALEXANDER",SUMMUS,8532311172,2019.0,1.0,Nacional,LIVRO,BROCHURA,PORTUGUÊS,BRASIL,264.0,87.8,O CORPO TRAÍDO,Psicologia
2012.0,"Autor:COLLINS, SUZANNE|Tradutor:DINIZ, VIVIANE",GALERA RECORD,8501081892,2012.0,1.0,Nacional,LIVRO,BROCHURA,PORTUGUÊS,BRASIL,304.0,34.9,GREGOR E AS MARCAS SECRETAS (VOL. 4),Teen
1982.0,"Autor:SABINO, FERNANDO",RECORD,8501915505,1982.0,1.0,Nacional,LIVRO,BROCHURA,PORTUGUÊS,BRASIL,176.0,34.9,O MENINO NO ESPELHO,Teen
2019.0,Autor:MELHORAMENTOS,MELHORAMENTOS -,8506083699,2019.0,1.0,Nacional,LIVRO,BROCHURA,PORTUGUÊS,BRASIL,6.0,39.0,PRINCESAS - HORA DO BANHO,Teen
2019.0,"Autor:ALVES, CLARA",SEGUINTE,8555340896,2019.0,1.0,Nacional,LIVRO,BROCHURA,PORTUGUÊS,BRASIL,320.0,39.9,CONECTADAS,Teen
2017.0,"Tradutor:LASAITIS, CRISTINA|Autor:SILVERA, ADAM",HOO EDITORA,8593911072,2017.0,1.0,Nacional,LIVRO,BROCHURA,PORTUGUÊS,BRASIL,336.0,39.9,HISTÓRIA É TUDO QUE ME DEIXOU,Teen
2011.0,"Autor:DUBY, GEORGES|Tradutor:BATISTA NETO, JONATAS",COMPANHIA DE BOLSO,8535918809,2011.0,1.0,Nacional,LIVRO,BROCHURA,PORTUGUÊS,BRASIL,256.0,37.9,IDADE MÉDIA IDADE DOS HOMENS,História
