Editora,ISBN,Ano,Edição,Origem,Encadernação,Idioma,País,Páginas,preço,nome,categoria,Autores
EDIÇOES 70 - BRASIL,6586618363,2021,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,284,79.0,O SUJEITO NA ERA DIGITAL,PSICOLOGIA,CLAUDIO AKIMOTO; LEONARDO GOLDBERG
AUTÊNTICA EDITORA LT,857526401X,2009,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,176,49.8,MINIDICIONÁRIO DO DISCURSO ELETRÔNICO-DIGITAL,DICIONÁRIOS,SERGIO ROBERTO COSTA
PORTO EDITORA,9720057564,2012,1,IMPORTADO,BROCHURA,PORT. PORTUGAL,PORTUGAL,352,77.6,DICIONARIO MODERNO DE VERBOS PORTUGUESES,DICIONÁRIOS,PORTO EDITORA
LEXIKON,8583000174,2014,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,304,39.0,DICIONÁRIO ESSENCIAL DE COMUNICAÇÃO,DICIONÁRIOS,CARLOS ALBERTO RABAÇA; GUSTAVO GUIMARAES BARBOSA
MELHORAMENTOS,8506078644,2016,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,264,70.2,MICHAELIS DICIONÁRIO DE EXPRESSÕES IDIOMÁTICAS – INGLÊS-PORTUGUÊS,DICIONÁRIOS,MARK G NASH E WILLIANS RAMOS FERREIRA
MELHORAMENTOS,8506078598,2016,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,976,93.6,MICHAELIS DICIONÁRIO PRÁTICO LÍNGUA PORTUGUESA,DICIONÁRIOS,MELHORAMENTOS
MELHORAMENTOS,8506078601,2016,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,976,93.6,MICHAELIS DICIONÁRIO PRÁTICO INGLÊS,DICIONÁRIOS,MELHORAMENTOS
VOZES,6557131788,2021,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,232,42.0,QUATRO ARQUÉTIPOS,PSICOLOGIA,C. G. JUNG
NVERSOS EDITORA,8584441581,2016,2016,USADO,BROCHURA,PORTUGUÊS,BRASIL,288,27.0,DISCIPLINA SEM DRAMA,PSICOLOGIA,DANIEL J. SIEGEL; TINA PAYNE BRYSON
ARTMED,8573079975,2002,1,USADO,BROCHURA,PORTUGUÊS,BRASIL,214,22.0,"NECESSIDADES ESSENCIAIS DAS CRIANÇAS, AS",PSICOLOGIA,STANLEY I. GREENSPAN; T. BERRY BRAZELTON
AGORA EDITORA,8571832803,2021,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,184,70.6,PSICOPATOLOGIA E PSICODINÂMICA NA ANÁLISE PSICODRAMÁTICA - VOLUME VIII,PSICOLOGIA,VICTOR R. C. S. DIAS
VOZES,655713180X,2021,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,400,75.0,SONHOS,PSICOLOGIA,C. G. JUNG
EDIPRO,8572831010,2014,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,223,40.0,VOCABULARIO FORENSE DA TRANSAÇAO,DICIONÁRIOS,ANA FARIDES DA SILVA
EDUSP,8531408555,2005,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,896,117.0,"ENCICLOPEDIA DA LINGUA DE SINAIS BRASILEIRA, V.3",DICIONÁRIOS,FERNANDO CESAR CAPOVILLA; WALKIRIA DUARTE RAPHAEL
OUTRA,9788546219612,2014,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,312,38.92,PRÁTICAS EM PSICOLOGIA: COMPARTILHANDO EXPERIÊNCIAS DE UMA UNIVERSIDADE NA FORMAÇÃO PROFISSIONAL PARA PROMOVER SAÚDE,PSICOLOGIA,DESCONHECIDO
EDITORA ALLER,6587399215,2021,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,192,87.9,PASSO A PASSO (1),PSICOLOGIA,JORGE CHAPUIS; RITHÉE CEVASCO
OUTRA,9786557120880,2014,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,224,38.42,UMA CIVILIZAÇÃO CENTRADA NA CRIANÇA: COMO UMA CRIAÇÃO AMOROSA PODE REVOLUCIONAR O MUNDO,PSICOLOGIA,DESCONHECIDO
OUTRA,9788575164709,2014,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,320,49.14,PSICOLOGIA ESCOLAR DENTIFICANDO E SUPERANDO BARREIRAS,PSICOLOGIA,DESCONHECIDO
SEXTANTE,6555641622,2021,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,272,49.9,MANEIRAS DE AMAR,PSICOLOGIA,AMIR LEVINE; RACHEL HELLER
PRINCIPIS,6555523638,2021,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,416,23.91,A SENHORA DE SILVER BUSH,PSICOLOGIA,LUCY MAUD MONTGOMERY
GUANABARA KOOGAN,8527707926,2003,1,NACIONAL,CAPA DURA,PORTUGUÊS,BRASIL,2060,1179.0,DICIONÁRIO MÉDICO,DICIONÁRIOS,THOMAS LATHROP STEDMAN
NOBEL,8521308507,1997,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,368,109.9,DICIONÁRIO DE CINOLOGIA,DICIONÁRIOS,BRUNO TAUSZ
BERTRAND BRASIL,8528606252,1997,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,650,149.9,NOVO DICIONÁRIO GEOLÓGICO-GEOMORFOLÓGICO,DICIONÁRIOS,ANTONIO JOSE TEIXEIRA GUERRA
OUTRA,9786557120842,2014,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,320,53.82,COMO O PRAZER FUNCIONA: POR QUE GOSTAMOS DO QUE GOSTAMOS,PSICOLOGIA,DESCONHECIDO
LISBON PRESS,9893707773,2021,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,350,49.0,O ABANDONO INFANTIL,PSICOLOGIA,MARIA STEPHANIE BARROS CARTAXO
CONTEXTO,8572448586,2014,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,256,51.0,PSICOLOGIA DO DESENVOLVIMENTO,PSICOLOGIA,GEOVANIO ROSSATO; NELSON PILETTI; SOLANGE MARQUES ROSSATO
PRINCIPIUM,8525067326,2018,2018,USADO,BROCHURA,PORTUGUÊS,BRASIL,288,24.95,MENTES PERIGOSAS - O PSICOPATA MORA AO LADO,PSICOLOGIA,ANA BEATRIZ BARBOSA SILVA
HEMUS,8528904628,1981,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,390,99.0,DICIONARIO DA PINTURA MODERNA,DICIONÁRIOS,DESCONHECIDO
EDIPRO,8552100584,2019,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,304,69.0,DICIONÁRIO PORTUGUÊS/ÁRABE – ÁRABE/PORTUGUÊS,DICIONÁRIOS,OMAR FAYAD
GARNIER,8571751218,2019,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,1297,171.6,DICIONÁRIO LATINO-PORTUGUÊS,DICIONÁRIOS,F. R. DOS SANTOS SARAIVA
OUTRA,9788547000639,2014,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,304,62.9,O PODER DA INTELIGÊNCIA EMOCIONAL: COMO LIDERAR COM SENSIBILIDADE E EFICIÊNCIA,PSICOLOGIA,DESCONHECIDO
VR EDITORA S.A,6586070449,2021,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,128,28.41,100 COISAS QUE EU AMO EM VOCÊ,PSICOLOGIA,CARA KOVACS
ENSINART EDITORA LTD,8560985166,2008,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,678,75.0,DICIONARIO NEGOCIOS E EMPREENDEDORISMO,DICIONÁRIOS,ANTONIO DE PAULO; CARLOS SIQUEIRA SIQUEIRA; NEWTON FREITAS
EDITORA ALLER 106,8594347316,2021,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,256,72.9,UM OUTRO NARCISO,PSICOLOGIA,COLETTE SOLER
OUTRA,9786556090474,2014,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,288,38.92,SEM LIMITES PARA O AMOR: UM NOVO OLHAR SOBRE O AUTISMO E OUTROS TRANSTORNOS NEUROLÓGICOS,PSICOLOGIA,DESCONHECIDO
OUTRA,9788532633637,2014,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,168,39.16,ÉTICA NA PSICOLOGIA,PSICOLOGIA,DESCONHECIDO
GARNIER,8571750661,2001,1,NACIONAL,CAPA DURA C/SOBRECAP,PORTUGUÊS,BRASIL,223,115.0,DICIONARIO TECNICO INDUSTRIAL - INGLES/PORTUGUES/,DICIONÁRIOS,J.ARTHUR HANKS
MUNDO CRISTAO,6586027942,2021,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,224,54.9,FAÇA VOCÊ MESMO,PSICOLOGIA,GARY CHAPMAN
ATLAS EDITORA,8522494142,2015,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,304,110.0,METODOLOGIA DA PESQUISA SOCIAL: DA PROPOSIÇÃO DE UM PROBLEMA À REDAÇÃO E APRESENTAÇÃO DO RELATÓRIO,METODOLOGIA DE PESQUISA,MARIA INES CASTINEIRA; NADIA KIENEN; PEDRO ANTONIO DOS SANTOS
ATLAS EDITORA,8522402736,1987,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,176,90.0,INTRODUÇÃO À PESQUISA EM CIÊNCIAS SOCIAIS,METODOLOGIA DE PESQUISA,AUGUSTO NIBALDO SILVA TRIVINOS
ATLAS EDITORA,8522491151,2014,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,96,67.0,"ELABORAÇÃO DE PROJETO, TCC, DISSERTAÇÃO E TESE: UMA ABORDAGEM SIMPLES, PRÁTICA E OBJETIVA",METODOLOGIA DE PESQUISA,MARIO DE SOUZA ALMEIDA
LANGENSCHEIDT,3468113544,2016,1,IMPORTADO,BROCHURA,INGLÊS,ALEMANHA,223,157.2,LANGENSCHEIDT TASCHENWÖRTERBUCH SPANISCH,DICIONÁRIOS,DESCONHECIDO
SARAIVA EDITORA,8547232095,2018,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,200,61.0,PODER JUDICIÁRIO E SERVIÇO SOCIAL,METODOLOGIA DE PESQUISA,JOSÉLIA FERREIRA DOS REIS; VANIA MORALES SIERRA
ATLAS EDITORA,8522415544,1995,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,120,103.0,INTRODUÇÃO Á METODOLOGIA DA CIÊNCIA,METODOLOGIA DE PESQUISA,PEDRO DEMO
ATLAS EDITORA,8522495343,2014,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,168,68.0,PLANEJAMENTO DA PESQUISA CIENTÍFICA,METODOLOGIA DE PESQUISA,EMILIO JOSE MONTERO ARRUDA FILHO; MILTON CORDEIRO FARIAS FILHO
ATLAS EDITORA,8597006757,2016,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,104,73.0,PROJETOS E RELATÓRIOS DE PESQUISA EM ADMINISTRAÇÃO,METODOLOGIA DE PESQUISA,SYLVIA CONSTANT VERGARA
ATLAS EDITORA,8597013834,2017,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,424,164.0,PESQUISA SOCIAL,METODOLOGIA DE PESQUISA,ROBERTO JARRY RICHARDSON
ATLAS EDITORA,8597012617,2017,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,192,95.0,COMO ELABORAR PROJETOS DE PESQUISA,METODOLOGIA DE PESQUISA,ANTONIO CARLOS GIL
ATLAS EDITORA,8522499047,2015,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,296,106.0,MÉTODOS DE PESQUISA EM ADMINISTRAÇÃO,METODOLOGIA DE PESQUISA,SYLVIA CONSTANT VERGARA
TRAÇO,8571190119,2000,4,NACIONAL,CAPA DURA,PORTUGUÊS,BRASIL,342,147.0,DICIONARIO DE TERMOS TECNICOS - PORTUGUES/INGLES,DICIONÁRIOS,DESCONHECIDO
ATLAS EDITORA,8597001135,2015,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,304,104.0,METODOLOGIA E PESQUISA CIENTÍFICA EM CIÊNCIAS SOCIAIS,METODOLOGIA DE PESQUISA,MARIA HELENA MICHEL
ATLAS EDITORA,852249732X,2015,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,192,74.0,OUTRAS PALAVRAS SOBRE AUTORIA E PLÁGIO,METODOLOGIA DE PESQUISA,MARCELO KROKOSCZ
BOOKMAN COMPANHIA ED,8577805239,2010,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,230,78.0,"UM LIVRO BOM, PEQUENO E ACESSÍVEL SOBRE PESQUISA QUALITATIVA",METODOLOGIA DE PESQUISA,DAVID SILVERMAN
METODO,8530960300,2015,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,576,92.0,DICIONÁRIO ACADÊMICO DE DIREITO,DICIONÁRIOS,MARCUS CLAUDIO ACQUAVIVA
ATLAS EDITORA,8522444617,2006,2,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,223,42.0,METODOS DE PESQUISA EM ADMINISTRAÇAO,METODOLOGIA DE PESQUISA,DESCONHECIDO
THOMSON PIONEIRA,8522103615,2016,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,334,102.1,ESTÁGIO SUPERVISIONADO E TRABALHO DE CONCLUSÃO DE CURSO,METODOLOGIA DE PESQUISA,MANOLITA CORREA LIMA; SILVIO OLIVO
CIVILIZAÇAO BRASILEI,8520010539,2011,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,350,109.9,DICIONÁRIO DA ANTIGUIDADE AFRICANA,DICIONÁRIOS,NEI LOPES
WMF MARTINS FONTES,8560156100,2006,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,200,49.9,COMO REDIGIR UMA BIBLIOGRAFIA,METODOLOGIA DE PESQUISA,ARLETTE BOULOGNE
WMF MARTINS FONTES,8533620918,2005,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,186,44.9,COMO SE PREPARAR PARA UM EXAME,METODOLOGIA DE PESQUISA,BRIGITTE CHEVALIER
PENSO - ARTMED,8563899155,2011,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,232,95.0,PESQUISA DE LEVANTAMENTO,METODOLOGIA DE PESQUISA,FLOYD FOWLER JR.
OUTRA,9788575168646,2014,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,194,42.12,"PSICOLOGIA, POLÍTICA E ESQUIZOANÁLISE",PSICOLOGIA,DESCONHECIDO
EDITORA HYRIA,8566442245,2018,2,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,20,49.6,ENTENDER E EVITAR PLÁGIO E AUTOPLÁGIO,METODOLOGIA DE PESQUISA,PEDRO REIZ
DISAL EDITORA,8578441036,2012,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,248,48.0,GLOSSÁRIO AUTOMOTIVO - PORTUGUÊS / INGLÊS,DICIONÁRIOS,CYNTHIA PICHINI; ROSALIND MOBAID
EDITORA AGE,8583431752,2015,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,119,20.88,"BODE EXPIATORIO, O (EDIÇAO ESPECIAL)",DICIONÁRIOS,ARI RIBOLDI
BAGAÇO,8537303003,2007,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,200,34.5,VOCABULARIO BRASILEIRO DE TRIBUTAÇAO,DICIONÁRIOS,ENEIDA ENDE; FERNANDA CORNILS; IVO VASCONCELOS PEDROSA; MARIA ROSEANA SOARES
NOBEL,8521307748,2010,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,656,109.9,DICIONÁRIO DE TERMOS FINANCEIROS E DE INVESTIMENTO,DICIONÁRIOS,JOHN DOWNES; JORDAN ELLIOT GOODMAN
PENSO - ARTMED,8563899287,2012,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,488,180.0,PESQUISA NO MUNDO REAL,METODOLOGIA DE PESQUISA,DAVID E. GRAY
ATICA EDITORA,8508045808,2013,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,557,73.0,MINIDICIONÁRIO FRANCÊS-PORTUGUÊS/ PORTUGUÊS-FRANCÊS,DICIONÁRIOS,DESCONHECIDO
CASA DO PSICOLOGO,8580401402,2013,1,USADO,BROCHURA,PORTUGUÊS,BRASIL,284,33.0,ENCONTRO DA POLITICA COM O TRABALHO,PSICOLOGIA,CRIS FERNÁNDEZ ANDRADA
MERCADO ABERTO,8586840130,2007,2016,USADO,BROCHURA,PORTUGUÊS,BRASIL,200,18.5,"TRES ASES DE 30, OS",PSICOLOGIA,JOAO GOMES MARIANTE
MERCADO DE LETRAS,8575912291,2012,1,USADO,BROCHURA,PORTUGUÊS,BRASIL,192,32.5,"LEITURAS DA CLINICA, ESCRITAS DA CULTURA",PSICOLOGIA,MARIA CRISTINA POLI
MERCADO DE LETRAS,8575912305,2012,1,USADO,BROCHURA,PORTUGUÊS,BRASIL,352,36.0,DA CLINICA DO DESEJO A SUA ESCRITA,PSICOLOGIA,WILSON ALVES-BEZERRA
CENGAGE DO BRASIL,8522112142,2012,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,272,75.9,METODOLOGIA CIENTÍFICA,METODOLOGIA DE PESQUISA,DOMINGOS PARRA FILHO; JOAO ALMEIDA SANTOS
SARAIVA EDITORA,8502618628,2015,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,200,90.0,COMO NÃO SE FAZ UM TRABALHO DE CONCLUSÃO DE CURSO - 3ª EDIÇÃO DE 2015,METODOLOGIA DE PESQUISA,DE CARVALHO SALO
OUTRA,0,2014,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,223,766.4,RESEARCH METHODS IN PHYSICAL ACTIVITY,METODOLOGIA DE PESQUISA,DESCONHECIDO
SARAIVA EDITORA,854721495X,2017,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,184,64.0,DESENVOLVIMENTO DE PROJETO DE PESQUISA,METODOLOGIA DE PESQUISA,JOSE OSVALDO DE SORDI
AUTÊNTICA EDITORA LT,8551301616,2017,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,128,44.9,TRATAMENTO PSICANALÍTICO DE CRIANÇAS AUTISTAS,PSICOLOGIA,ANGELA VORCARO; TANIA FERREIRA
ZAHAR,8571100438,1988,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,388,122.9,"O SEMINÁRIO, LIVRO 7",PSICOLOGIA,JACQUES LACAN
OUTRA,9788579541483,2014,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,160,61.54,AUTISMO: PRÁTICAS E INTERVENÇÕES,PSICOLOGIA,DESCONHECIDO
OUTRA,9786587949185,2014,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,308,50.7,INTRODUÇÃO À PSICOLOGIA NA SOCIOEDUCAÇÃO NO BRASIL: TEORIA E PRÁTICA,PSICOLOGIA,DESCONHECIDO
VOZES,8532600182,2014,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,128,51.0,PROJETO DE PESQUISA: PROPOSTAS METODOLÓGICAS,METODOLOGIA DE PESQUISA,AIDIL JESUS PAES BARROS; NEIDE APARECIDA DE SOUZA LEHFELD
CHAPMAN & HALL,158488214X,2001,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,223,800.5,SAMPLING METHODOLOGIES  WITH APPLICATIONS,METODOLOGIA DE PESQUISA,DESCONHECIDO
OUTRA,0,2014,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,223,30.0,RESENHA,METODOLOGIA DE PESQUISA,DESCONHECIDO
VOZES,8532605869,2015,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,112,35.0,APRENDENDO A APRENDER,METODOLOGIA DE PESQUISA,CLEVERSON L. BASTOS; VICENTE KELLER
CIVILIZAÇAO BRASILEI,852000492X,1999,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,320,74.9,MAL-ESTAR NA ATUALIDADE,PSICOLOGIA,JOEL BIRMAN
PAPIRUS,8530808843,2009,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,176,52.9,SENTIMENTOS QUE CAUSA STRESS,PSICOLOGIA,MARILDA LIPP
ROCA,8572417281,2009,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,536,279.0,DICIONÁRIO DE CIÊNCIA E TECNOLOGIA DOS ALIMENTOS,DICIONÁRIOS,IFIS
AUTÊNTICA EDITORA LT,8575265768,2012,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,376,59.8,ESTILO E VERDADE EM JACQUES LACAN,PSICOLOGIA,GILSON IANNINI
ROCCO,8532503357,1987,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,107,22.0,ENAMORAMENTO E AMOR,PSICOLOGIA,FRANCESCO ALBERONI
L&PM EDITORES,8525434329,2016,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,176,39.9,"INIBIÇÃO, SINTOMA E MEDO",PSICOLOGIA,SIGMUND FREUD
VOZES,8532600271,2015,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,144,46.1,INTRODUÇÃO AO PROJETO DE PESQUISA CIENTÍFICA,METODOLOGIA DE PESQUISA,FRANZ VICTOR RUDIO
DIFEL (BRASIL),8574320528,2003,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,146,54.9,A PSICOLOGIA DA CRIANÇA,PSICOLOGIA,BARBEL INHELDER; JEAN PIAGET
CHIADO BRASIL,989529882X,2021,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,116,33.0,RETIRANDO A MÁSCARA DAS VÍBORAS,PSICOLOGIA,BRUNO DA SILVA EVANGELISTA
SANTOS EDITORA,857288775X,2009,1,NACIONAL,CAPA DURA,PORTUGUÊS,BRASIL,996,234.0,DICIONÁRIO ODONTO-MÉDICO INGLÊS-PORTUGUES,DICIONÁRIOS,SOLON GALVAO FILHO
GARNIER,8571750904,2003,1,NACIONAL,CAPA DURA C/SOBRECAP,PORTUGUÊS,BRASIL,797,85.8,DICIONÁRIO INGLÊS-PORTUGUÊS,DICIONÁRIOS,OSWALDO SERPA
JOANINHA EDIÇOES,8565206017,2013,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,223,36.9,CONHECER AS PALAVRAS,DICIONÁRIOS,FABIANA MENDES RANGEL
EDITORA AGE,8574974447,2009,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,72,17.0,"BODE EXPIATORIO, O - V.2",DICIONÁRIOS,ARI RIBOLDI
EDITORA AGE,8565909913,2013,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,192,32.0,"BODE EXPIATORIO, O, V.3",DICIONÁRIOS,ARI RIBOLDI
GARNIER,8571751056,2007,1,NACIONAL,CAPA DURA C/SOBRECAP,PORTUGUÊS,BRASIL,1116,117.0,DICIONÁRIO DE REGÊNCIA NOMINAL PORTUGUESA,DICIONÁRIOS,ALFREDO DE CARVALHO
ROCCO,8532525709,2010,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,189,25.0,FREUD EXPLICA A DOIS,PSICOLOGIA,ALBERTO GOLDIN
PAPIRUS,8530809424,2011,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,160,47.9,QUEM CUIDARÁ DAS CRIANÇAS,PSICOLOGIA,JOSE MARTINS FILHO
ROCCO,8532508189,1998,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,304,37.0,CHANTAGEM EMOCIONAL,PSICOLOGIA,SUSAN FORWARD
ALTA BOOKS,8550811378,2021,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,256,64.9,PNL PARA PAIS E PROFESSORES - EDUCANDO COM A LINGUAGEM DO CÉREBRO,PSICOLOGIA,JOSÉ HENRIQUE SBROCCO
VOZES,6557130110,2021,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,192,47.0,DA INUTILIDADE DAS DISCUSSÕES,PSICOLOGIA,AROLDO RODRIGUES
METODO,8530927877,2008,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,464,135.0,MINI-DICIONÁRIO JURÍDICO - LAW DICTIONARY PORTUGUÊS/INGLÊS/PORTUGUÊS,DICIONÁRIOS,MARIA CHAVES DE MELLO
CONTEXTO,6555410620,2021,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,160,37.0,SEXO NO COTIDIANO,PSICOLOGIA,CARMITA ABDO
SUMMUS,8532301916,2006,1,USADO,BROCHURA,PORTUGUÊS,BRASIL,240,39.45,"AMOR, CASAMENTO, FAMILIA, DIVORCIO... E DEPOIS",PSICOLOGIA,ROSANE MANTILLA DE SOUZA; VERA REGINA R. RAMIRES
COMPANHIA DAS LETRAS,6559210502,2021,1,NACIONAL,CAPA DURA,PORTUGUÊS,BRASIL,478,89.9,FREUD (1901) - OBRAS COMPLETAS VOLUME 5,PSICOLOGIA,SIGMUND FREUD
AUTÊNTICA EDITORA LT,6588239920,2021,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,272,59.8,SONHOS CONFINADOS,PSICOLOGIA,DESCONHECIDO
GUANABARA KOOGAN,8527708485,2003,1,NACIONAL,CAPA DURA,PORTUGUÊS,BRASIL,1008,853.0,DICIONÁRIO DE TERMOS TÉCNICOS DE MEDICINA E SAÚDE,DICIONÁRIOS,LUIS REY
LEXIKON,8586368725,2012,4,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,616,99.0,"DICIONÁRIO FRANCÊS-PORTUGUÊS, PORTUGUÊS-FRANCÊS",DICIONÁRIOS,PAULO RONAI
OUTRA,9788575594735,2014,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,312,50.7,O TEMPO E O CÃO: A ATUALIDADE DAS DEPRESSÕES,PSICOLOGIA,DESCONHECIDO
ZAHAR,8571104026,1997,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,448,142.9,DICIONÁRIO OXFORD DE FILOSOFIA,DICIONÁRIOS,SIMON BLACKBURN
WMF MARTINS FONTES,857827508X,2020,1,NACIONAL,CAPA DURA,PORTUGUÊS,BRASIL,888,64.9,DICIONARIO ESCOLAR WMF - FRANCES-PORTUGUES / PORTUGUES-FRANCES,DICIONÁRIOS,DESCONHECIDO
VIDE EDITORIAL,6589108102,2021,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,137,42.9,O QUE É O COMUNISMO - UMA CRÍTICA FILOSÓFICA,PSICOLOGIA,JEAN DAUJAT
AUTÊNTICA EDITORA LT,8582173202,2014,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,512,99.8,DICIONÁRIO DO LATIM ESSENCIAL,DICIONÁRIOS,ANTONIO MARTINEZ DE REZENDE; SANDRA BRAGA BIANCHET
SELO NEGRO,8587478958,2015,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,176,56.9,DICIONARIO ESCOLAR AFRO-BRASILEIRO,DICIONÁRIOS,NEI LOPES
EDIÇOES 70 - BRASIL,9724034739,2008,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,702,226.0,DIREITO DE NEGOCIOS - DICIONARIO INGLES-PORTUGUES,DICIONÁRIOS,J A FERREIRA DA COSTA REVISÃO TÉCNICA: JORGE MO
GLOBAL EDITORA,8526015044,2016,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,800,38.92,DICIONÁRIO GLOBAL - ESCOLAR SILVEIRA BUENO DA LÍNGUA PORTUGUESA,DICIONÁRIOS,SILVEIRA BUENO
