Editora,ISBN,Ano,Edição,Origem,Encadernação,Idioma,País,Páginas,preço,nome,categoria,Autores
PRUMO,8579271746,2012,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,128,24.9,JOGOS VORAZES - GUIA DO TRIBUTO,TEEN,EMILY SEIFE
HOUGHTON MIFFLIN SCH,054764776X,2009,1,IMPORTADO,BROCHURA,INGLÊS,ESTADOS UNIDOS,223,171.2,"SCIENCEFUSION, GRADE 6-8",TEEN,HOLT MCDOUGAL
GUTENBERG AUTENTICA,8580620058,2011,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,408,49.8,MINHA VIDA FORA DE SÉRIE - 1ª TEMPORADA,TEEN,PAULA PIMENTA
ROCCO,853253080X,2017,1,NACIONAL,CAPA DURA,PORTUGUÊS,BRASIL,288,59.9,HARRY POTTER E O PRISIONEIRO DE AZKABAN,TEEN,JK ROWLING
VOZES,8532631932,2014,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,208,62.9,TRÊS METODOLOGIAS,METODOLOGIA DE PESQUISA,ELIZABETH TEIXEIRA
SARAIVA EDITORA,8502102435,2010,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,480,125.93,PESQUISA QUALITATIVA EM ESTUDOS ORGANIZACIONAIS,METODOLOGIA DE PESQUISA,ANIELSON BARBOSA DA SILVA
VOZES,853264354X,2014,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,112,34.8,MANUAL PARA ELABORAÇÃO DE TRABALHOS ACADÊMICOS,METODOLOGIA DE PESQUISA,ROBERTA LIANA PIMENTEL CAJUEIRO
SEGUINTE,8555340551,2018,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,632,47.9,TEMPESTADE DE GUERRA,TEEN,VICTORIA AVEYARD
GALERA RECORD,8501077356,2017,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,350,49.9,A INQUISIÇÃO (VOL. 2 CONJURADOR),TEEN,TARAN MATHARU
GUTENBERG AUTENTICA,8582354568,2017,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,448,59.8,CROOKED KINGDOM,TEEN,LEIGH BARDUGO
WMF MARTINS FONTES,8578278917,2014,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,248,39.9,O MENINO QUE NADAVA COM PIRANHAS,TEEN,DAVID ALMOND
GARAMOND,8586435759,2011,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,112,26.0,MONOGRAFIA AO ALCANCE DE TODOS,METODOLOGIA DE PESQUISA,DAU BASTOS; MARIANA SOUZA; SOLANGE NASCIMENTO
CIENCIA MODERNA,8573938900,2010,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,184,36.0,DA INICIAÇAO CIENTIFICA AO TCC,METODOLOGIA DE PESQUISA,JOSE MAURICIO DOS SANTOS PINHEIRO
BOOKMAN COMPANHIA ED,8582602316,2014,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,320,99.0,ESTUDO DE CASO,METODOLOGIA DE PESQUISA,ROBERT K. YIN
GALERA RECORD,8501098361,2014,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,320,39.9,O QUE RESTOU DE MIM (VOL. 1 AS CRÔNICAS HÍBRIDAS),TEEN,KAT ZHANG
SUMA DE LETRAS BRASI,856028088X,2012,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,428,44.9,OKSA POLLOCK E O MUNDO INVISIVEL,TEEN,ANNE PLICHOTA; CENDRINE WOLF
CIA DAS LETRINHAS,857406811X,2018,1,NACIONAL,CAPA DURA,PORTUGUÊS,BRASIL,44,42.9,MALALA E SEU LÁPIS MÁGICO,TEEN,MALALA YOUSAFZAI
SARAIVA EDITORA,850206326X,2008,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,264,97.0,MONOGRAFIA,METODOLOGIA DE PESQUISA,MANOLITA CORREA LIMA
VOZES,8532637523,2015,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,128,38.0,FUNDAMENTOS E PRÁTICA DE METODOLOGIA CIENTÍFICA,METODOLOGIA DE PESQUISA,ANTONIO CARLOS WILL LUDWIG
SUMMUS,8532311172,2019,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,264,87.8,O CORPO TRAÍDO,PSICOLOGIA,ALEXANDER LOWEN
